Portfolio Manager ID,Portfolio Manager Meter ID,Meter Type,Usage/Quantity,Usage Units,Cost ($),Year,Month
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2002,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2002,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2002,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2002,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2002,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2002,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2002,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2003,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2003,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2003,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2003,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2003,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2003,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4731.37,kWh (thousand Watt-hours),0.0,2004,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2004,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2004,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2004,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2004,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2004,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2005,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2005,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2005,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2005,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2005,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2005,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2006,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2006,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2006,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2006,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2006,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2006,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2007,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2007,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2007,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2007,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2007,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2007,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4731.37,kWh (thousand Watt-hours),0.0,2008,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2008,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2008,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2008,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2008,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2008,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2009,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2009,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2009,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2009,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2009,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2009,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2010,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2010,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2010,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2010,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2010,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2010,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2011,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2011,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2011,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2011,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2011,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2011,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4731.37,kWh (thousand Watt-hours),0.0,2012,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2012,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2012,06
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,07
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,08
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2012,09
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,10
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2012,11
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2012,12
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2013,01
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4568.22,kWh (thousand Watt-hours),0.0,2013,02
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2013,03
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2013,04
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,5057.67,kWh (thousand Watt-hours),0.0,2013,05
1687199,6031331,Uninterruptible Power Supply (UPS) Output Meter,4894.52,kWh (thousand Watt-hours),0.0,2013,06
